;Criteria A;Criteria B;Criteria C;Criteria D;Criteria E;Criteria F;Stations AD;Stations AE;Stations AF;Stations BD;Stations BE;Stations BF;Stations CD;Stations CE;Stations CF;Raw_score;Score
46;Commence par un M;Contient une lettre doublee;Situe dans Nantes;Contient un P;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;2;4;2;5;9;6;13;22;15;28;3.0
47;Commence par un M;Contient une lettre doublee;Sur la ligne de Tramway 2;Contient un P;Situe dans Nantes;Sur la ligne de Tramway 3;2;10;2;5;22;6;4;22;6;30;3.5
48;Commence par un M;Contient une lettre doublee;Sur la ligne de Tramway 3;Contient un P;Situe dans Nantes;Sur la ligne de Tramway 2;2;10;4;5;22;9;8;15;6;27;3.0
49;Commence par un M;Situe dans Nantes;Sur la ligne de Tramway 2;Contient un P;Contient une lettre doublee;Sur la ligne de Tramway 3;2;4;2;13;22;15;4;9;6;28;3.0
50;Commence par un M;Situe dans Nantes;Sur la ligne de Tramway 3;Contient un P;Contient une lettre doublee;Sur la ligne de Tramway 2;2;4;4;13;22;22;8;6;6;27;3.0
51;Commence par un M;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;Contient un P;Contient une lettre doublee;Situe dans Nantes;2;4;10;4;9;22;8;6;15;27;3.0
52;Commence par un M;Moins de 1 km d une riviere;Moins de 2 km des machines;Nord Loire;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;9;4;2;31;14;12;17;10;10;21;2.5
53;Commence par un M;Moins de 1 km d une riviere;Nord Loire;Moins de 2 km des machines;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;2;4;2;31;14;12;17;20;18;21;2.5
54;Commence par un M;Moins de 1 km d une riviere;Sur la ligne de Tramway 2;Moins de 2 km des machines;Nord Loire;Sur la ligne de Tramway 3;2;9;2;31;31;12;10;20;6;24;2.5
55;Commence par un M;Moins de 1 km d une riviere;Sur la ligne de Tramway 3;Moins de 2 km des machines;Nord Loire;Sur la ligne de Tramway 2;2;9;4;31;31;14;10;18;6;22;2.5
56;Commence par un M;Moins de 2 km des machines;Nord Loire;Moins de 1 km d une riviere;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;8;4;2;31;10;10;31;20;18;20;2.0
57;Commence par un M;Moins de 2 km des machines;Sur la ligne de Tramway 2;Moins de 1 km d une riviere;Nord Loire;Sur la ligne de Tramway 3;8;9;2;31;17;10;14;20;6;21;2.5
58;Commence par un M;Moins de 2 km des machines;Sur la ligne de Tramway 3;Moins de 1 km d une riviere;Nord Loire;Sur la ligne de Tramway 2;8;9;4;31;17;10;12;18;6;21;2.5
59;Commence par un M;Nord Loire;Sur la ligne de Tramway 2;Moins de 1 km d une riviere;Moins de 2 km des machines;Sur la ligne de Tramway 3;8;2;2;31;17;18;14;10;6;23;2.5
60;Commence par un M;Nord Loire;Sur la ligne de Tramway 3;Moins de 1 km d une riviere;Moins de 2 km des machines;Sur la ligne de Tramway 2;8;2;4;31;17;20;12;10;6;23;2.5
61;Commence par un M;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;Moins de 1 km d une riviere;Moins de 2 km des machines;Nord Loire;8;2;9;14;10;20;12;10;18;20;2.0
62;Moins de 1km du peripherique;Ne contient pas de E;Sur la ligne de Busway 5;Nom en 3 mots ou plus;Situe dans Nantes;Terminus de ligne;5;13;7;1;13;1;5;15;2;29;3.0
63;Moins de 1km du peripherique;Nom en 3 mots ou plus;Sur la ligne de Busway 5;Ne contient pas de E;Situe dans Nantes;Terminus de ligne;5;13;7;1;17;4;3;15;2;29;3.0
64;Moins de 1km du peripherique;Situe dans Nantes;Sur la ligne de Busway 5;Ne contient pas de E;Nom en 3 mots ou plus;Terminus de ligne;5;5;7;13;17;5;3;5;2;31;3.5
65;Moins de 1km du peripherique;Sur la ligne de Busway 5;Terminus de ligne;Ne contient pas de E;Nom en 3 mots ou plus;Situe dans Nantes;5;5;13;3;5;15;1;4;5;32;3.5
66;Commence par un B;Contient un H;Termine par un S;Nom de 9 lettres ou moins;Nom en 1 seul mot;Nom en 3 mots ou plus;9;12;1;6;7;6;6;8;8;31;3.5
67;Commence par un M;Moins de 1 km de la Tour Bretagne;Nom en 1 seul mot;Situe dans Nantes;Termine par un S;Terminus de ligne;10;3;1;13;2;1;38;8;4;31;3.5
68;Commence par un M;Moins de 1 km de la Tour Bretagne;Situe dans Nantes;Nom en 1 seul mot;Termine par un S;Terminus de ligne;6;3;1;5;2;1;38;19;5;34;4.0
69;Commence par un M;Moins de 1 km de la Tour Bretagne;Termine par un S;Nom en 1 seul mot;Situe dans Nantes;Terminus de ligne;6;10;1;5;13;1;8;19;1;30;3.5
70;Commence par un M;Moins de 1 km de la Tour Bretagne;Terminus de ligne;Nom en 1 seul mot;Situe dans Nantes;Termine par un S;6;10;3;5;13;2;4;5;1;34;4.0
71;Commence par un M;Nom en 1 seul mot;Situe dans Nantes;Moins de 1 km de la Tour Bretagne;Termine par un S;Terminus de ligne;1;3;1;5;8;4;13;19;5;32;3.5
72;Commence par un M;Nom en 1 seul mot;Termine par un S;Moins de 1 km de la Tour Bretagne;Situe dans Nantes;Terminus de ligne;1;10;1;5;38;4;2;19;1;32;3.5
73;Commence par un M;Nom en 1 seul mot;Terminus de ligne;Moins de 1 km de la Tour Bretagne;Situe dans Nantes;Termine par un S;1;10;3;5;38;8;1;5;1;34;4.0
74;Commence par un M;Situe dans Nantes;Termine par un S;Moins de 1 km de la Tour Bretagne;Nom en 1 seul mot;Terminus de ligne;1;6;1;13;38;5;2;8;1;33;3.5
75;Commence par un M;Situe dans Nantes;Terminus de ligne;Moins de 1 km de la Tour Bretagne;Nom en 1 seul mot;Termine par un S;1;6;3;13;38;19;1;4;1;31;3.5
76;Commence par un M;Termine par un S;Terminus de ligne;Moins de 1 km de la Tour Bretagne;Nom en 1 seul mot;Situe dans Nantes;1;6;10;2;8;19;1;4;5;33;3.5
77;Nom en 1 seul mot;Sur la ligne de Busway 5;Sur la ligne de Tramway 3;Termine par un E;Termine par un S;Terminus de ligne;25;8;4;4;5;2;14;5;2;31;3.5
78;Nom en 1 seul mot;Sur la ligne de Busway 5;Terminus de ligne;Sur la ligne de Tramway 3;Termine par un E;Termine par un S;14;25;8;1;4;5;2;4;1;32;3.5
79;Nom en 1 seul mot;Sur la ligne de Tramway 3;Terminus de ligne;Sur la ligne de Busway 5;Termine par un E;Termine par un S;8;25;8;1;14;5;2;4;1;31;3.5
80;Nom en 1 seul mot;Termine par un E;Termine par un S;Sur la ligne de Busway 5;Sur la ligne de Tramway 3;Terminus de ligne;8;14;4;4;14;4;5;5;1;30;3.5
81;Contient un H;Moins de 2 km des machines;Sur la ligne de Busway 4;Sur 2 lignes ou plus;Sur la ligne de Busway 5;Sur une autre commune que Nantes;3;3;6;8;9;2;2;1;3;40;4.5
82;Commence par un B;Contient un H;Moins de 1 km d une riviere;Ile de Nantes;Nord Loire;Sur la ligne de Tramway 2;1;10;2;2;19;7;16;31;14;24;2.5
83;Commence par un B;Contient un H;Sur la ligne de Tramway 2;Ile de Nantes;Moins de 1 km d une riviere;Nord Loire;1;8;10;2;13;19;3;14;20;24;2.5
84;Contient un H;Contient un P;Nom en 3 mots ou plus;Situe dans Nantes;Sud Loire;Terminus de ligne;19;4;2;13;6;3;17;4;4;29;3.0
85;Contient un H;Contient un P;Situe dans Nantes;Nom en 3 mots ou plus;Sud Loire;Terminus de ligne;6;4;2;8;6;3;17;7;5;33;3.5
86;Contient un H;Contient un P;Sud Loire;Nom en 3 mots ou plus;Situe dans Nantes;Terminus de ligne;6;19;2;8;13;3;4;7;3;31;3.5
87;Contient un H;Contient un P;Terminus de ligne;Nom en 3 mots ou plus;Situe dans Nantes;Sud Loire;6;19;4;8;13;6;4;5;3;30;3.5
88;Contient un H;Nom en 3 mots ou plus;Situe dans Nantes;Contient un P;Sud Loire;Terminus de ligne;4;4;2;8;4;4;13;7;5;32;3.5
89;Contient un H;Nom en 3 mots ou plus;Sud Loire;Contient un P;Situe dans Nantes;Terminus de ligne;4;19;2;8;17;4;6;7;3;30;3.5
90;Contient un H;Nom en 3 mots ou plus;Terminus de ligne;Contient un P;Situe dans Nantes;Sud Loire;4;19;4;8;17;4;3;5;3;31;3.5
91;Contient un H;Situe dans Nantes;Sud Loire;Contient un P;Nom en 3 mots ou plus;Terminus de ligne;4;6;2;13;17;5;6;4;3;32;3.5
92;Contient un H;Situe dans Nantes;Terminus de ligne;Contient un P;Nom en 3 mots ou plus;Sud Loire;4;6;4;13;17;7;3;4;3;31;3.5
93;Contient un H;Sud Loire;Terminus de ligne;Contient un P;Nom en 3 mots ou plus;Situe dans Nantes;4;6;19;6;4;7;3;4;5;33;3.5
94;Contient un H;Contient un P;Contient une lettre doublee;Moins de 2 km hippodrome;Situe dans Nantes;Termine par un E;5;19;7;1;13;4;4;22;10;25;3.0
95;Contient un H;Contient un P;Moins de 2 km hippodrome;Contient une lettre doublee;Situe dans Nantes;Termine par un E;6;19;7;5;13;4;4;11;4;27;3.0
96;Contient un H;Contient un P;Situe dans Nantes;Contient une lettre doublee;Moins de 2 km hippodrome;Termine par un E;6;5;7;5;1;4;22;11;27;28;3.0
97;Contient un H;Contient un P;Termine par un E;Contient une lettre doublee;Moins de 2 km hippodrome;Situe dans Nantes;6;5;19;5;1;13;10;4;27;26;3.0
98;Contient un H;Contient une lettre doublee;Moins de 2 km hippodrome;Contient un P;Situe dans Nantes;Termine par un E;4;19;7;5;22;10;1;11;4;26;3.0
99;Contient un H;Contient une lettre doublee;Situe dans Nantes;Contient un P;Moins de 2 km hippodrome;Termine par un E;4;5;7;5;4;10;13;11;27;25;3.0
100;Contient un H;Contient une lettre doublee;Termine par un E;Contient un P;Moins de 2 km hippodrome;Situe dans Nantes;4;5;19;5;4;22;4;4;27;27;3.0
101;Contient un H;Moins de 2 km hippodrome;Situe dans Nantes;Contient un P;Contient une lettre doublee;Termine par un E;4;6;7;1;4;4;13;22;27;27;3.0
102;Contient un H;Moins de 2 km hippodrome;Termine par un E;Contient un P;Contient une lettre doublee;Situe dans Nantes;4;6;19;1;4;11;4;10;27;27;3.0
103;Contient un H;Situe dans Nantes;Termine par un E;Contient un P;Contient une lettre doublee;Moins de 2 km hippodrome;4;6;5;13;22;11;4;10;4;26;3.0
104;Commence par un M;Ne contient pas de E;Sur la ligne de Tramway 1;Nom de 9 lettres ou moins;Nom en 3 mots ou plus;Sur la ligne de Tramway 2;1;3;4;12;1;4;15;5;1;35;4.0
105;Commence par un M;Ne contient pas de E;Sur la ligne de Tramway 2;Nom de 9 lettres ou moins;Nom en 3 mots ou plus;Sur la ligne de Tramway 1;1;3;5;12;1;5;10;6;1;36;4.0
106;Commence par un M;Nom de 9 lettres ou moins;Nom en 3 mots ou plus;Ne contient pas de E;Sur la ligne de Tramway 1;Sur la ligne de Tramway 2;2;5;4;12;15;10;1;5;6;31;3.5
107;Commence par un M;Sur la ligne de Tramway 1;Sur la ligne de Tramway 2;Ne contient pas de E;Nom de 9 lettres ou moins;Nom en 3 mots ou plus;2;1;3;5;15;5;4;10;6;34;4.0
108;Moins de 1 km d une riviere;Moins de 1km du peripherique;Ne contient pas de E;Nom en 1 seul mot;Sur la ligne de Tramway 3;Termine par un S;27;12;16;12;4;4;12;6;2;25;3.0
109;Moins de 1 km d une riviere;Moins de 1km du peripherique;Nom en 1 seul mot;Ne contient pas de E;Sur la ligne de Tramway 3;Termine par un S;11;12;16;5;4;4;12;14;8;23;2.5
110;Moins de 1 km d une riviere;Moins de 1km du peripherique;Sur la ligne de Tramway 3;Ne contient pas de E;Nom en 1 seul mot;Termine par un S;11;27;16;5;12;4;6;14;5;23;2.5
111;Moins de 1 km d une riviere;Moins de 1km du peripherique;Termine par un S;Ne contient pas de E;Nom en 1 seul mot;Sur la ligne de Tramway 3;11;27;12;5;12;4;2;8;5;27;3.0
112;Moins de 1 km d une riviere;Ne contient pas de E;Nom en 1 seul mot;Moins de 1km du peripherique;Sur la ligne de Tramway 3;Termine par un S;5;12;16;5;6;2;12;14;8;26;3.0
113;Moins de 1 km d une riviere;Ne contient pas de E;Sur la ligne de Tramway 3;Moins de 1km du peripherique;Nom en 1 seul mot;Termine par un S;5;27;16;5;12;2;4;14;5;26;3.0
114;Moins de 1 km d une riviere;Ne contient pas de E;Termine par un S;Moins de 1km du peripherique;Nom en 1 seul mot;Sur la ligne de Tramway 3;5;27;12;5;12;6;4;8;5;28;3.0
115;Moins de 1 km d une riviere;Nom en 1 seul mot;Sur la ligne de Tramway 3;Moins de 1km du peripherique;Ne contient pas de E;Termine par un S;5;11;16;12;12;8;4;6;5;26;3.0
116;Moins de 1 km d une riviere;Nom en 1 seul mot;Termine par un S;Moins de 1km du peripherique;Ne contient pas de E;Sur la ligne de Tramway 3;5;11;12;12;12;14;4;2;5;26;3.0
117;Moins de 1 km d une riviere;Sur la ligne de Tramway 3;Termine par un S;Moins de 1km du peripherique;Ne contient pas de E;Nom en 1 seul mot;5;11;27;4;6;14;4;2;8;28;3.0
118;Commence par un M;Moins de 1km du peripherique;Ne contient pas de E;Nom de 9 lettres ou moins;Situe dans Nantes;Sur la ligne de Tramway 1;1;10;5;11;13;12;12;13;5;23;2.5
119;Commence par un M;Moins de 1km du peripherique;Nom de 9 lettres ou moins;Ne contient pas de E;Situe dans Nantes;Sur la ligne de Tramway 1;2;10;5;5;13;12;12;33;15;22;2.5
120;Commence par un M;Moins de 1km du peripherique;Situe dans Nantes;Ne contient pas de E;Nom de 9 lettres ou moins;Sur la ligne de Tramway 1;2;1;5;5;11;12;13;33;28;25;3.0
121;Commence par un M;Moins de 1km du peripherique;Sur la ligne de Tramway 1;Ne contient pas de E;Nom de 9 lettres ou moins;Situe dans Nantes;2;1;10;5;11;13;5;15;28;25;3.0
122;Commence par un M;Ne contient pas de E;Nom de 9 lettres ou moins;Moins de 1km du peripherique;Situe dans Nantes;Sur la ligne de Tramway 1;2;10;5;5;13;5;11;33;15;24;2.5
123;Commence par un M;Ne contient pas de E;Situe dans Nantes;Moins de 1km du peripherique;Nom de 9 lettres ou moins;Sur la ligne de Tramway 1;2;1;5;5;12;5;13;33;28;27;3.0
124;Commence par un M;Ne contient pas de E;Sur la ligne de Tramway 1;Moins de 1km du peripherique;Nom de 9 lettres ou moins;Situe dans Nantes;2;1;10;5;12;13;12;15;28;23;2.5
125;Commence par un M;Nom de 9 lettres ou moins;Situe dans Nantes;Moins de 1km du peripherique;Ne contient pas de E;Sur la ligne de Tramway 1;2;2;5;11;12;15;13;13;28;22;2.5
126;Commence par un M;Nom de 9 lettres ou moins;Sur la ligne de Tramway 1;Moins de 1km du peripherique;Ne contient pas de E;Situe dans Nantes;2;2;10;11;12;33;12;5;28;24;2.5
127;Commence par un M;Situe dans Nantes;Sur la ligne de Tramway 1;Moins de 1km du peripherique;Ne contient pas de E;Nom de 9 lettres ou moins;2;2;1;13;13;33;12;5;15;25;3.0
128;Commence par un M;Commence par une voyelle;Ne contient pas de E;Nom de 9 lettres ou moins;Nord Loire;Sur la ligne de Tramway 1;1;9;5;1;6;1;12;11;5;34;4.0
129;Commence par un M;Commence par une voyelle;Nom de 9 lettres ou moins;Ne contient pas de E;Nord Loire;Sur la ligne de Tramway 1;2;9;5;1;6;1;12;31;15;30;3.5
130;Commence par un M;Commence par une voyelle;Nord Loire;Ne contient pas de E;Nom de 9 lettres ou moins;Sur la ligne de Tramway 1;2;1;5;1;1;1;11;31;35;33;3.5
131;Commence par un M;Commence par une voyelle;Sur la ligne de Tramway 1;Ne contient pas de E;Nom de 9 lettres ou moins;Nord Loire;2;1;9;1;1;6;5;15;35;33;3.5
132;Contient un P;Sur la ligne de Tramway 1;Sur la ligne de Tramway 2;Moins de 1 km du chateau;Moins de 2 km hippodrome;Sur 2 lignes ou plus;2;1;1;5;1;2;6;10;6;39;4.5
133;Ile de Nantes;Sud Loire;Sur la ligne de Tramway 1;Nom de 9 lettres ou moins;Sur 2 lignes ou plus;Termine par un S;7;4;5;7;1;5;15;2;4;33;3.5
134;Contient un P;Moins de 1 km d une riviere;Ne contient pas de E;Nord Loire;Sur la ligne de Busway 4;Termine par un S;10;3;3;31;13;16;11;1;2;27;3.0
135;Contient un P;Moins de 1 km d une riviere;Nord Loire;Ne contient pas de E;Sur la ligne de Busway 4;Termine par un S;4;3;3;11;13;16;11;3;12;27;3.0
136;Contient un P;Moins de 1 km d une riviere;Sur la ligne de Busway 4;Ne contient pas de E;Nord Loire;Termine par un S;4;10;3;11;31;16;1;3;5;29;3.0
137;Contient un P;Moins de 1 km d une riviere;Termine par un S;Ne contient pas de E;Nord Loire;Sur la ligne de Busway 4;4;10;3;11;31;13;2;12;5;26;3.0
138;Contient un P;Ne contient pas de E;Nord Loire;Moins de 1 km d une riviere;Sur la ligne de Busway 4;Termine par un S;12;3;3;11;1;2;31;3;12;32;3.5
139;Contient un P;Ne contient pas de E;Sur la ligne de Busway 4;Moins de 1 km d une riviere;Nord Loire;Termine par un S;12;10;3;11;11;2;13;3;5;28;3.0
140;Contient un P;Ne contient pas de E;Termine par un S;Moins de 1 km d une riviere;Nord Loire;Sur la ligne de Busway 4;12;10;3;11;11;1;16;12;5;25;3.0
141;Contient un P;Nord Loire;Sur la ligne de Busway 4;Moins de 1 km d une riviere;Ne contient pas de E;Termine par un S;12;4;3;31;11;12;13;1;5;26;3.0
142;Contient un P;Nord Loire;Termine par un S;Moins de 1 km d une riviere;Ne contient pas de E;Sur la ligne de Busway 4;12;4;3;31;11;3;16;2;5;29;3.0
143;Contient un P;Sur la ligne de Busway 4;Termine par un S;Moins de 1 km d une riviere;Ne contient pas de E;Nord Loire;12;4;10;13;1;3;16;2;12;27;3.0
144;Commence par un M;Contient un H;Contient une lettre doublee;Situe dans Nantes;Sud Loire;Sur 2 lignes ou plus;10;2;1;19;4;3;22;4;3;32;3.5
145;Commence par un M;Contient un H;Situe dans Nantes;Contient une lettre doublee;Sud Loire;Sur 2 lignes ou plus;4;2;1;6;4;3;22;7;8;34;4.0
146;Commence par un M;Contient un H;Sud Loire;Contient une lettre doublee;Situe dans Nantes;Sur 2 lignes ou plus;4;10;1;6;19;3;4;7;1;33;3.5
147;Commence par un M;Contient un H;Sur 2 lignes ou plus;Contient une lettre doublee;Situe dans Nantes;Sud Loire;4;10;2;6;19;4;3;8;1;33;3.5
